ID	VALUE
1552663_a_at	39.353947
1552664_at	28.798452
1552665_at	121.460503
1552666_a_at	7.939748
1552667_a_at	16.620565
1552669_at	18.45472
1552670_a_at	28.24548
1552671_a_at	32.486198
1552672_a_at	25.188236
1552673_at	8.246999
1552674_at	8.41241
1552675_at	9.198656
1552676_at	49.0228
1552677_a_at	41.605831
1552678_a_at	45.947323
1552680_a_at	290.787659
1552682_a_at	34.398952
1552684_a_at	14.422709
1552685_a_at	24.898346
1552686_at	24.137737
1552687_a_at	15.885321
1552689_at	65.957504
1552690_a_at	14.449785
1552691_at	7.251193
1552693_at	7.84925
1552694_at	7.627494
1552695_a_at	13.716817
1552696_at	43.849827
1552698_at	64.341202
1552701_a_at	13.195279
1552703_s_at	8.353445
1552705_at	7.73363
1552708_a_at	10.001436
1552711_a_at	162.560043
1552712_a_at	64.022285
1552713_a_at	15.711931
1552714_at	11.779819
1552715_a_at	8.429125
1552716_at	22.480888
1552717_s_at	18.561674
1552718_at	17.875811
1552719_at	29.810837
1552721_a_at	9.052341
1552722_at	7.221009
1552724_at	19.892168
1552725_s_at	19.209888
1552726_at	13.781277
1552727_s_at	10.105725
1552729_at	55.061138
1552730_at	14.594095
1552731_at	13.057921
1552732_at	7.770641
1552733_at	9.906651
1552734_at	9.933326
1552735_at	8.520787
1552736_a_at	8.983418
1552737_s_at	16.379814
1552738_a_at	18.741833
1552739_s_at	28.558107
1552740_at	9.038887
1552742_at	10.198285
1552743_at	10.494937
1552745_at	12.46288
1552747_a_at	8.305388
1552749_a_at	195.913193
1552750_at	11.776006
1552751_a_at	45.396156
1552752_a_at	9.750023
1552754_a_at	8.183875
1552755_at	15.906884
1552757_s_at	13.692843
1552758_at	11.229042
1552760_at	9.206522
1552761_at	89.777069
1552763_at	7.707363
1552765_x_at	8.571261
1552766_at	8.142571
1552767_a_at	8.433744
1552768_at	41.802486
1552769_at	16.581806
1552770_s_at	11.706972
1552771_a_at	11.725406
1552772_at	13.195411
1552773_at	12.762022
1552774_a_at	14.446759
1552775_at	17.328905
1552777_a_at	12.953466
1552779_a_at	10.392053
1552782_at	8.861357
1552783_at	8.244468
1552785_at	10.536702
1552787_at	9.412436
1552788_a_at	17.523493
1552789_at	12.988116
1552790_a_at	172.004013
1552791_a_at	8.376202
1552792_at	10.377035
1552793_at	21.741964
1552794_a_at	9.467986
1552796_a_at	14.035768
1552797_s_at	9.747999
1552798_a_at	15.329503
1552799_at	31.061062
1552800_at	101.047089
1552801_at	14.433284
1552803_a_at	25.880369
1552804_a_at	44.998058
1552806_a_at	17.421364
1552807_a_at	18.300846
1552808_at	7.936013
1552809_at	7.255186
1552811_at	64.310577
1552812_a_at	72.698509
1552813_at	19.209888
1552814_a_at	20.067038
1552816_at	8.048482
1552818_a_at	11.094296
1552819_at	17.645132
1552822_at	9.040414
1552825_at	11.360442
1552826_at	7.978685
1552827_s_at	12.09305
1552828_at	15.726554
1552829_at	23.276844
1552830_at	19.032549
1552833_at	21.116829
1552834_at	43.798447
1552835_at	9.677125
1552836_at	36.796463
1552837_at	6.48202
1552839_at	14.862932
1552841_s_at	8.87457
1552842_at	20.687983
1552843_at	12.092021
1552845_at	33.203056
1552846_s_at	44.163815
1552848_a_at	10.307774
1552849_at	8.480545
1552851_at	8.744132
1552852_a_at	9.875292
1552853_at	29.098463
1552854_a_at	14.483884
1552856_at	13.122852
1552857_a_at	16.165012
1552858_at	7.124048
1552860_at	15.186646
1552862_at	33.127117
1552863_a_at	106.027596
1552865_a_at	33.689686
1552867_at	9.580355
1552868_at	48.351208
1552870_s_at	7.463606
1552872_at	47.174835
1552873_s_at	62.343567
1552875_a_at	11.182129
1552876_at	12.249792
1552877_s_at	20.052086
1552878_at	7.502719
1552879_a_at	14.383308
1552880_at	11.127739
1552882_a_at	17.481215
1552884_at	39.691067
1552885_a_at	45.835075
1552887_at	43.358505
1552889_a_at	118.170532
1552890_a_at	24.618227
1552892_at	48.3866
1552893_at	46.854397
1552895_a_at	9.625024
1552897_a_at	25.611401
1552898_a_at	11.287646
1552899_at	9.782107
1552900_a_at	8.050812
1552902_a_at	13.43498
1552903_at	20.256701
1552904_at	6.742044
1552906_at	7.921757
1552908_at	9.264598
1552910_at	10.997771
1552911_at	25.579248
1552912_a_at	9.044148
1552913_at	7.480571
1552914_a_at	28.921478
1552915_at	12.276673
1552917_at	30.745388
1552919_at	10.997511
1552921_a_at	53.423981
1552922_at	9.796468
1552923_a_at	17.006664
1552924_a_at	78.36422
1552925_at	19.648071
1552927_at	10.997771
1552928_s_at	9.195303
1552929_at	10.135771
1552930_at	49.62645
1552931_a_at	81.246292
1552932_at	13.245868
1552933_at	7.592315
1552935_at	25.590811
1552937_s_at	118.643906
1552938_at	23.540318
1552939_at	8.325494
1552940_at	10.015708
1552942_at	22.864231
1552943_at	7.919515
1552944_a_at	245.271622
1552946_at	40.589935
1552947_x_at	41.906666
1552948_at	36.648632
1552950_at	9.46114
1552952_at	8.427066
1552953_a_at	21.497232
1552954_at	11.593857
1552955_at	17.054201
1552957_at	11.143606
1552960_at	25.984734
1552961_at	23.356443
1552964_at	31.576122
1552965_a_at	22.162113
1552967_at	15.913098
1552969_a_at	10.347004
1552970_s_at	11.581516
1552971_at	9.819689
1552972_at	7.228285
1552973_at	19.175865
1552974_at	8.393806
1552975_x_at	7.343912
1552976_at	27.658983
1552977_a_at	86.855644
1552978_a_at	80.785858
1552979_at	9.722723
1552980_at	25.186779
1552982_a_at	19.979666
1552985_at	12.446324
1552986_at	16.092432
1552987_a_at	7.630388
1552988_at	8.953
1552990_at	11.065623
1552991_at	12.364814
1552993_at	9.909347
1552995_at	66.58551
1552997_a_at	27.497284
1552998_at	14.877484
1552999_a_at	11.117068
1553002_at	10.188256
1553003_at	10.043856
1553004_at	11.005483
1553006_at	10.192202
1553007_a_at	12.7541
1553009_s_at	16.581806
1553011_at	26.591213
1553013_at	10.984905
1553015_a_at	229.676544
1553016_at	17.875811
1553019_at	42.844913
1553020_at	16.259935
1553021_s_at	35.213642
1553022_at	8.153359
1553023_a_at	22.237909
1553024_at	7.503664
1553025_at	11.113664
1553027_a_at	21.092766
1553028_at	12.880838
1553030_a_at	42.986149
1553031_at	16.265005
1553032_at	12.695254
1553033_at	12.372457
1553034_at	13.736097
1553036_at	8.746593
1553037_a_at	12.396008
1553039_a_at	101.344887
1553041_at	27.533167
1553042_a_at	35.607155
1553043_a_at	17.860268
1553044_at	14.039312
1553045_at	12.507421
1553046_s_at	53.247307
1553047_at	76.203896
1553048_a_at	70.004906
1553051_s_at	18.135981
1553052_at	13.194307
1553053_at	18.162195
1553055_a_at	13.200644
1553057_at	21.20542
1553058_at	19.884781
1553059_at	10.588481
1553060_at	30.195993
1553061_at	21.049799
1553062_at	15.018998
1553063_at	29.719296
1553064_at	37.839909
1553066_at	10.620997
1553067_a_at	14.791729
1553069_at	13.773477
1553070_a_at	12.619982
1553071_a_at	28.576361
1553072_at	17.299883
1553074_at	14.198313
1553075_a_at	7.106036
1553076_at	8.888266
1553077_at	11.840168
1553078_at	14.864974
1553079_at	14.421623
1553080_at	9.97741
1553081_at	48.65443
1553082_at	27.409973
1553083_at	15.212865
1553084_at	8.833451
1553086_at	9.747999
1553087_at	16.158464
1553088_a_at	77.587891
1553089_a_at	13.401342
1553093_a_at	11.132134
1553094_at	23.422087
1553096_s_at	113.462311
1553099_at	109.619965
1553101_a_at	383.788849
1553102_a_at	12.5423
1553103_at	188.627991
1553105_s_at	340.27655
1553106_at	71.942398
1553107_s_at	202.063492
1553108_at	26.699617
1553111_a_at	17.014954
1553112_s_at	55.959934
1553113_s_at	67.603233
1553114_a_at	110.312683
1553115_at	75.52272
1553117_a_at	86.219055
1553118_at	221.997177
1553120_at	11.739116
1553122_s_at	16.581806
1553123_at	27.703152
1553125_x_at	27.932234
1553126_a_at	7.040628
1553127_a_at	9.493395
1553129_at	8.151909
1553130_at	65.276138
1553131_a_at	27.140892
1553132_a_at	7.374887
1553133_at	15.635991
1553134_s_at	7.855092
1553136_at	55.747608
1553137_s_at	14.504442
1553138_a_at	15.699009
