"ID","Gene symbol"
"A_21_P0008067","XLOC_010399"
"A_23_P430670","CHST5"
"A_33_P3411313",""
"A_33_P3658861","SNORA26"
"A_23_P41948","CCDC99"
"A_23_P27724","SEPW1"
"A_23_P10785","VTI1A"
"A_23_P107587","NPC1"
"3xSLv1",""
"A_23_P160849","FCER1G"
"A_33_P3265619",""
"A_24_P823684","HSP90AB1"
"A_24_P98006","MCHR2"
"A_21_P0004081","XLOC_004674"
"A_33_P3349404","CECR2"
"A_23_P43079","INTS8"
"A_23_P217659","BRCC3"
"A_33_P3303444","AFM"
"A_33_P3404749","FMN1"
"A_33_P3704738","FAM74A1"
"A_23_P126869","PADI3"
"A_23_P137543","ZNF362"
"A_23_P374322","LACC1"
"A_21_P0001876","XLOC_001517"
"A_23_P113161","C1orf21"
"A_21_P0012360","LINC00229"
"A_33_P3270599","TPM2"
"A_33_P3330911","BCAS1"
"A_24_P493287",""
"A_21_P0011326","XLOC_l2_004706"
"A_21_P0000105","MTRNR2L5"
"A_23_P40952","RAF1"
"A_21_P0011975","XLOC_l2_008321"
"A_19_P00808883","Q7Z2X8"
"A_23_P45166","PROSC"
"A_21_P0013807","XLOC_l2_015673"
"A_33_P3224250","CLCC1"
"A_21_P0008920","XLOC_011686"
"A_21_P0003212","XLOC_003406"
"A_23_P334608","GUSB"
"A_23_P53137","HBG1"
"A_24_P166094","ARFIP1"
"ERCC-00053_71",""
"A_21_P0013203","XLOC_l2_013427"
"A_23_P502464","NOS2"
"A_21_P0003248","XLOC_002773"
"A_21_P0009821","LOC100652730"
"A_33_P3381022","ICMT"
"A_21_P0004336","XLOC_004636"
"A_21_P0006572","XLOC_008061"
"A_21_P0008126","XLOC_010517"
"A_21_P0004410","XLOC_004875"
"A_23_P593","GPBP1L1"
"A_33_P3272189","MFSD9"
"A_23_P112652","CNOT10"
"A_21_P0000477","SNORA11B"
"A_23_P13907","IGF1"
"A_21_P0001170","XLOC_000982"
"A_33_P3388070",""
"A_33_P3364089","SLCO1B3"
"A_21_P0005032","XLOC_005763"
"A_21_P0007022","XLOC_008963"
"A_23_P111604","NXPH1"
"A_33_P3226080","C17orf87"
"A_23_P105392","CCT2"
"A_23_P126735","IL10"
"A_33_P3247589",""
"A_24_P930926","BAG4"
"ERCC-00081_60",""
"A_33_P3338166","NUAK2"
"A_23_P118392","RASD1"
"A_23_P77401","CPPED1"
"A_19_P00319765","XLOC_l2_009762"
"A_21_P0002728","XLOC_002593"
"A_32_P12639","PSMD12"
"A_33_P3255001","LOC152024"
"ERCC-00062_278",""
"A_21_P0003284","XLOC_003130"
"A_21_P0005042","XLOC_005784"
"A_24_P268160","DRAM2"
"ETG10_13482",""
"A_33_P3230588",""
"A_21_P0008871","FLJ42627"
"A_21_P0012967","XLOC_l2_011891"
"A_21_P0004981","XLOC_005567"
"A_23_P12363","ROR1"
"A_23_P22761","SHOX"
"A_21_P0010700","XLOC_l2_000159"
"A_23_P106056","DAD1"
"A_33_P3519223",""
"A_23_P111487","SRRT"
"ERCC-00083_214",""
"A_33_P3212188","LRP3"
"A_23_P11081","AKAP4"
"A_33_P3367106","PFN1P2"
"A_21_P0010868","XLOC_l2_001945"
"A_33_P3378972","UNC5D"
"A_32_P55840",""
"A_33_P3366575","NXT2"
"A_23_P95930","HMGA2"
"A_21_P0013341","XLOC_l2_013931"
"A_21_P0003418","XLOC_003736"
"A_33_P3726064","LOC348761"
"A_33_P3239102",""
"A_33_P3287690","CNOT2"
"A_21_P0010355","XLOC_014215"
"ERCC-00134_68",""
"A_24_P110831","ANO1"
"A_23_P135669","SLCO5A1"
"A_23_P83184","LCN6"
"A_23_P12816","HELLS"
"A_21_P0007598","XLOC_009826"
"A_33_P3225106","SLITRK2"
"A_21_P0007285","XLOC_009303"
"A_24_P388528","ST6GAL1"
"A_21_P0003137","MTRNR2L2"
"A_23_P360990","DYDC1"
"A_33_P3229012","LOC652586"
"A_33_P3349774","LSM14B"
"A_21_P0014097","LOC100507380"
"A_23_P120103","KCNS3"
"A_33_P3483909",""
"A_33_P3247252",""
"A_23_P158829","ARRB2"
"A_33_P3409553",""
"A_23_P398275","LOC388152"
"A_21_P0010988","XLOC_l2_002423"
"A_33_P3225327","ATP13A3"
"A_33_P3276630","DYNLRB2"
"A_19_P00316657","P06788"
"A_23_P108492","MARS2"
"A_33_P3392092","ADCYAP1"
"A_23_P430411","ITGB2"
"A_21_P0003293","XLOC_003211"
"A_33_P3240497",""
"A_23_P136413","MMP17"
"A_23_P1173","HABP2"
"A_21_P0002846","XLOC_003093"
"A_23_P111132","HSPA1A"
"A_32_P157213",""
"A_33_P3227934","LOC100130430"
"A_33_P3531373","LOC340340"
"A_23_P9362","PSMB7"
"ERCC-00012_90",""
"ERCC-00041_75",""
"A_23_P59285","GCM2"
"A_21_P0009319","XLOC_012457"
"A_23_P88249","RBM23"
"A_23_P93217","SLC22A7"
"A_33_P3274851","COX5B"
"A_23_P103631","EBNA1BP2"
"A_23_P89431","CCL2"
"A_33_P3233565","UROS"
"ERCC-00003_63",""
"A_21_P0001079","XLOC_000625"
"A_21_P0006126","XLOC_007281"
"A_19_P00318679","XLOC_011510"
"A_21_P0006099","XLOC_007819"
"A_21_P0007864","XLOC_009948"
"A_23_P115366","CMPK1"
"A_33_P3387115",""
"A_23_P49338","TNFRSF12A"
