ID	VALUE
ERCC-00156_158	0.10027205
A_21_P0008122	0.034591947
A_23_P110624	-6.0110226
ERCC-00147_344	0.086940564
A_21_P0001786	0.042258035
A_32_P215938	-3.4692936
A_33_P3325808	1.4201466
A_21_P0002823	-0.5394311
A_23_P101960	-0.10259627
A_19_P00318261	0.93013
A_21_P0011410	0.060798824
A_23_P140602	1.1651267
A_24_P252575	-0.42121893
A_23_P104025	0.7381068
A_23_P63459	0.023844691
A_23_P104972	0.11920616
A_33_P3215028	-0.2856312
A_33_P3228722	-0.085077144
ERCC-00034_158	0.10175644
A_23_P146146	0.059248894
A_24_P71973	-0.36553952
A_33_P3340085	0.4043303
A_23_P215175	0.3468475
A_23_P103588	3.2213793
A_21_P0013214	0.09258957
A_19_P00806765	-2.7668269
A_21_P0004505	1.6692903
A_23_P11032	0.46758652
A_33_P3255314	0.101775505
A_21_P0005037	1.1434188
A_23_P252748	1.1791611
A_21_P0005215	0.10835536
A_32_P57810	-2.9446924
A_21_P0002212	0.9332495
A_23_P214678	-0.26005277
A_24_P11575	0.60684437
A_33_P3368034	0.17042634
A_21_P0008281	0.12072831
A_33_P3240972	-0.6230011
A_21_P0004440	0.8840628
A_23_P106463	-0.69490904
A_24_P153043	-0.6829968
(+)E1A_r60_a22	-3.471344
A_23_P36187	1.4959637
A_21_P0009102	0.13368863
A_24_P149395	-0.3799085
A_21_P0012208	-0.034350358
A_21_P0013981	4.4865837
A_21_P0010346	-0.3156791
A_23_P104563	1.107045
A_19_P00801041	0.13003239
A_23_P82762	3.4565659
A_24_P336577	0.44609547
A_33_P3368144	0.022534939
A_33_P3253583	0.14923885
A_33_P3317282	0.7479706
A_33_P3341269	1.1213244
A_33_P3500167	-0.1463295
A_21_P0013408	-0.4712408
A_33_P3384108	0.830327
A_33_P3340264	0.15652798
A_21_P0013519	1.1389796
A_23_P36531	6.1753006
A_21_P0007963	0.6680048
A_33_P3236030	-0.030326284
A_21_P0009956	0.96613455
A_21_P0001650	0.16247231
A_21_P0008718	1.230529
A_33_P3273459	0.024330106
A_24_P383850	0.35441217
A_23_P354791	-0.92929363
A_23_P59153	0.009505228
A_23_P103110	0.65084755
A_23_P344853	1.1493942
A_24_P134235	0.8661857
A_33_P3218772	0.94769853
A_23_P53646	-0.9165744
A_23_P431505	0.55877733
A_21_P0006221	1.392316
A_21_P0007314	0.17073698
A_21_P0009162	-2.926291
A_21_P0010290	0.7226134
A_23_P319783	0.35397288
A_23_P103442	0.34118843
A_21_P0011627	0.3699031
A_21_P0009225	-3.1925988
A_21_P0012192	0.1726779
A_21_P0008647	0.253446
A_33_P3230976	2.0933008
A_23_P106675	-4.316287
A_33_P3259954	0.17292829
A_19_P00321284	0.43293574
A_33_P3233620	-1.5379544
A_23_P72096	0.4985554
A_32_P231086	-0.13224494
A_23_P7535	0.27566957
A_32_P60606	-0.988677
A_23_P31073	-1.3305035
A_32_P85591	-0.19687083
A_21_P0012632	0.17210867
A_33_P3318002	-0.2243619
A_23_P345710	0.3813923
A_33_P3331085	0.22417793
A_21_P0000144	0.40134856
A_23_P110961	-0.4916354
A_24_P251734	5.4454966
A_23_P166122	0.33935922
A_24_P817863	0.6796503
A_23_P113803	0.024292905
A_33_P3237364	0.99240583
A_24_P401090	2.3798146
A_23_P123727	0.9454556
A_23_P213518	-0.827632
A_23_P112113	-0.24442197
A_33_P3292402	-2.6515794
A_33_P3291776	0.8764488
A_33_P3337569	0.5641452
A_33_P3222744	0.16438386
A_24_P3415	-1.8206943
A_33_P3240234	1.1068401
A_23_P362228	-1.8993359
A_23_P108376	-0.052452054
A_24_P782308	0.66273683
A_21_P0003880	0.16146715
A_33_P3846177	-5.2246237
A_33_P3271634	0.10569914
A_23_P59388	-1.9783555
A_23_P109774	-0.11264902
A_21_P0012394	-0.33810502
A_33_P3238290	-4.140656
A_23_P99891	0.84664834
A_21_P0008067	-1.4023921
A_23_P430670	0.65498537
A_33_P3411313	0.15606317
A_33_P3658861	0.050862655
A_23_P41948	-0.75410265
A_23_P27724	-0.10266682
A_23_P10785	0.6447105
A_23_P107587	-0.44133568
3xSLv1	0.12043802
A_23_P160849	0.25367844
A_33_P3265619	0.15253073
A_24_P823684	-0.9579449
